Date,ICI,ESI,MDS,CO,EIPR,KOSPI,LSIRD
2003. 01,-0.4,100.5,88.2,8424,148.2,604.9,0.99
2003. 02,-0.9,99.1,87.1,8266.3,148.9,595.1,0.84
2003. 03,-1.8,97.3,86.1,8022,149.7,591.1,0.72
2003. 04,-6.4,96.2,84.9,7960.8,150.3,576.1,0.61
2003. 05,-8.7,93.9,84.1,7558.6,151.2,583.4,0.53
2003. 06,-6.9,94.1,84.3,8961.7,151.6,620.9,0.35
2003. 07,-6.9,92.1,82,9396,151,660.1,0.45
2003. 08,-5.2,93.1,81.3,10335.3,150.6,699.5,0.73
2003. 09,-5.5,95.4,81.3,9448.3,150.6,725.8,0.91
2003. 10,-2.2,97.8,82.9,9495.4,149.9,743.5,1.06
2003. 11,-0.7,99.2,83.2,8289.2,149.2,762.6,1.1
2003. 12,0.6,100.7,82,7728.8,148.1,782.3,1.31
2004. 01,2,103.3,82.1,7245.8,147.9,811.9,1.35
2004. 02,4.4,104.9,82.1,7318,147.5,838.1,1.37
2004. 03,5.8,105.9,82,7176.8,146.5,862.9,1.3
2004. 04,7.8,106.7,82.1,7027.8,145.5,883.4,1.21
2004. 05,8.8,103.8,81.9,6736.9,144.5,860.5,1.08
2004. 06,8.6,100.4,82.5,6636.7,144.3,825.8,0.98
2004. 07,8,95.7,81.7,7147.2,144,772.2,0.84
2004. 08,6.2,94.6,81.6,7025.7,143.7,762.7,0.65
2004. 09,5.4,95,80.7,6938.4,144.1,784.1,0.45
2004. 10,2.4,95.1,81,7793.1,144,818.4,0.26
2004. 11,0.6,93.5,80.1,7964.1,144.2,849.4,0.19
2004. 12,-2.4,90.7,79.9,9026.1,143.4,861.8,0.15
2005. 01,-4.2,90.6,79.2,8081.3,142.6,879.9,0.31
2005. 02,-5.9,96.5,79.3,7547.3,141.1,913.7,0.65
2005. 03,-4.4,104.1,79.4,8090.2,138.6,952,0.96
2005. 04,-5,109.8,79.6,8030.6,135.8,969.4,1.04
2005. 05,-5.9,108.2,79.5,9333.8,133.3,960.9,0.84
2005. 06,-5.5,105,79.9,8683.2,131.6,961.9,0.72
2005. 07,-3.4,100.8,81.5,8935.2,130.6,996.3,0.82
2005. 08,0.1,100.6,83.2,8349.6,129,1050.6,1.09
2005. 09,-0.6,102.3,83.4,7738.4,127.8,1110.5,1.38
2005. 10,-0.7,104.7,82.9,7220.5,127.2,1154.6,1.54
2005. 11,-0.2,106.9,82.2,7000.1,127.4,1205.1,1.69
2005. 12,1.9,108.9,82.3,6944.3,127.3,1261,1.71
2006. 01,3.2,112.4,85.1,7290.1,126.1,1323.8,1.69
2006. 02,2.9,115,86.8,7358,124.6,1353.3,1.43
2006. 03,1.1,116.9,88.3,7394.7,123.4,1350.9,1.27
2006. 04,0.8,117.1,87.3,6976.4,121.8,1363.1,1.15
2006. 05,1.5,114.6,90,7162.8,119.7,1378.8,1.11
2006. 06,0.9,109.9,90.6,7549.7,118.1,1351.3,1.01
2006. 07,-2.8,105.3,89.4,8492.5,116.9,1305.3,0.87
2006. 08,-5,103.8,89.1,8815.8,116.6,1281.1,0.69
2006. 09,-3.6,104.8,90.4,10179,117.3,1316.9,0.5
2006. 10,-0.2,107.1,93.3,9635.9,118.5,1342.2,0.3
2006. 11,-0.6,108.6,93.5,10002.8,119.4,1371.5,0.27
2006. 12,-1.8,108.7,93.2,9149.1,118.6,1392.2,0.3
2007. 01,-4.6,107.5,93.6,9846.9,118.4,1400.7,0.36
2007. 02,-3.8,108.7,94.2,10011.1,117.5,1411,0.36
2007. 03,-2.6,110.9,94.3,10020.4,116.2,1415.3,0.31
2007. 04,1,114,93.4,10046.2,114.1,1461.2,0.28
2007. 05,2.4,114.5,93,9418.4,112.8,1521.2,0.34
2007. 06,3.1,114.4,93.1,9800.3,112.5,1628.8,0.53
2007. 07,5.9,114.3,93.5,9208.3,112.6,1760.3,0.7
2007. 08,5.6,115.3,92.7,9738.9,112.9,1827,0.66
2007. 09,5.4,116.4,91.8,10451.3,112.2,1868.5,0.54
2007. 10,1.8,116.5,92.1,11948.3,110.8,1899.5,0.45
2007. 11,2.3,115.4,93.8,13188.5,108.5,1936.1,0.51
2007. 12,3.3,113.6,96.2,12232.5,106.6,1944.5,0.66
2008. 01,5,112.3,97.6,10629,105.1,1853.7,0.67
2008. 02,3.9,112.3,97.3,9187.3,103.7,1775.3,0.53
2008. 03,3.2,110.7,97.4,9214.6,102.2,1691,0.31
2008. 04,0.3,109.5,97.4,9903.1,100.7,1705.8,0.14
2008. 05,-1.7,105.8,96.9,9836.4,98.6,1758.2,0.22
2008. 06,-5.8,102.9,95.7,9058.1,96.7,1793.9,0.42
2008. 07,-7.7,97.5,95.8,8079.3,94.9,1724.9,0.76
2008. 08,-9.3,96.8,96.5,7985.8,95.1,1621.8,0.83
2008. 09,-10.8,96.4,97.2,7495,96.4,1517.9,0.76
2008. 10,-14.6,92.3,96.2,8021.9,99.3,1395.3,0.51
2008. 11,-20.3,80.9,94.6,7720.1,102.3,1240.8,0.7
2008. 12,-24.2,67.2,91.3,9441.1,105.2,1130.2,0.83
2009. 01,-24.6,61.6,86.8,8984.4,106.2,1115.1,1.25
2009. 02,-18,61.3,84.6,9084.9,106.4,1137,1.7
2009. 03,-11.6,65.9,84.4,7932.4,106.3,1145.6,2.27
2009. 04,-4.7,74.4,86.5,8421.5,107.4,1200.8,2.63
2009. 05,0.1,83.7,86,8443.9,107.6,1287.7,2.66
2009. 06,7.4,93.1,88.8,8991.3,106.6,1372.6,2.68
2009. 07,12.1,96.6,88.8,8445.7,105.3,1418.6,2.7
2009. 08,14.6,101.3,89.6,7942.8,103.8,1477.7,2.8
2009. 09,15.5,105.3,89.1,7709,103.5,1565.8,2.82
2009. 10,17.3,109.9,90.1,9406.3,102.2,1622.7,2.9
2009. 11,22.7,109.9,92.8,11885.6,101,1624.5,2.87
2009. 12,28.2,110.2,95.8,12044.2,99.9,1620.2,2.84
2010. 01,30.6,110.5,98.3,11409.1,99.3,1637.4,2.81
2010. 02,24.1,113.4,99.1,9087.7,99.6,1642.6,2.79
2010. 03,16,115.3,99.8,8129.4,99.3,1648.9,2.69
2010. 04,8.1,116.6,102.8,7174.4,99,1664.9,2.55
2010. 05,4.8,116.5,106.6,7927,98.2,1681.4,2.43
2010. 06,0.7,116.3,109.5,8285.8,98.1,1690.2,2.42
2010. 07,-2.3,115.6,110.2,8675.4,98.1,1690.4,2.35
2010. 08,-4.4,114.7,111.9,7367.6,97.3,1728.4,2.22
2010. 09,-6.2,114.3,112.9,7479.6,96.1,1769.7,1.96
2010. 10,-7.2,113.2,111.8,6082.7,94.5,1822.6,1.68
2010. 11,-7.9,113.1,110.8,6496.7,93.3,1876.7,1.57
2010. 12,-7.8,112.2,109.1,6195.1,91.9,1939,1.53
2011. 01,-2.9,112,112.1,6803,90.6,2006.3,1.61
2011. 02,1.4,111.9,112.8,6613.1,89.6,2032.3,1.61
2011. 03,4.2,111.2,113.3,6579.1,88.8,2032.4,1.5
2011. 04,1.4,111.8,111.2,6831.5,87.8,2052.9,1.32
2011. 05,-1.9,111.2,112.1,7041.9,87.2,2092.6,1.08
2011. 06,-4.7,110.7,113.1,7434.9,86.5,2116.5,0.92
2011. 07,-6,108.6,115,6959.5,86.2,2115.5,0.79
2011. 08,-6.6,106.7,115.3,7719.3,86,2031.4,0.64
2011. 09,-6.3,105.8,115.4,7393,85.8,1936.8,0.5
2011. 10,-6.9,104.4,114.9,7997.7,85.8,1828.8,0.38
2011. 11,-9,103.6,113.3,7530,85.3,1825.2,0.31
2011. 12,-11.6,101.4,111.2,7720.8,85,1849.3,0.29
2012. 01,-13.5,100.3,113.6,8148.3,84.5,1871,0.25
2012. 02,-12.2,100.6,116.9,9397.3,84.2,1919.1,0.26
2012. 03,-11.4,102.8,117.6,8845.2,83.7,1972.5,0.33
2012. 04,-9.3,105.9,115.8,8361.8,83.6,2007.5,0.38
2012. 05,-8.2,106.2,111.7,6869.2,84,1968.6,0.35
2012. 06,-5.1,104.2,110.2,7699.6,85.3,1910.3,0.26
2012. 07,-3.3,99.4,107.8,7725.3,86.1,1853.9,0.14
2012. 08,-4.2,95.5,105.6,7512,86.2,1864.8,0.04
2012. 09,-3.8,92.9,103.5,6499.9,85.4,1902.3,-0.04
2012. 10,-3.1,91.2,102.4,5980.7,85.1,1940.8,-0.04
2012. 11,-0.7,89.7,102.1,5996,85.4,1936.1,0.02
2012. 12,-0.3,88.9,102.7,5878.1,85.9,1940.2,0.13
2013. 01,-2.2,90,101.1,5518.7,86.2,1954.9,0.15
2013. 02,-4.3,92,100,5367.6,86.4,1979.9,0.14
2013. 03,-5.6,94.7,98.8,5384.6,86.9,1985.4,0.04
2013. 04,-4.9,96,98,5620.6,87.3,1969.7,-0.03
2013. 05,-4,96.4,97.5,5612.2,88,1967.9,-0.01
2013. 06,-3.7,95.7,99.6,5708.8,88.6,1932.6,0.2
2013. 07,-4.9,94.9,100.1,5882.1,88.9,1910.2,0.47
2013. 08,-3,94.2,100.6,5712.6,88.6,1884.4,0.68
2013. 09,-5,94.1,98.9,6008.1,88.2,1917.7,0.71
2013. 10,-5.1,94.8,100,6492.8,87.9,1970.4,0.67
2013. 11,-7.6,95.7,100.8,7149.6,88,2008,0.66
2013. 12,-5.8,96.3,102,7305.8,87.8,2009.3,0.71
2014. 01,-4,97.3,101.4,7302.1,87.7,1982.1,0.77
2014. 02,-2.9,99,101,7257.5,87.5,1958.1,0.74
2014. 03,-2.6,100.1,100.2,6479.8,87.6,1946.1,0.71
2014. 04,-4,100.9,99.7,6610.7,87.5,1960.4,0.68
2014. 05,-5.2,100.2,99.8,6487.7,87.5,1979.2,0.65
2014. 06,-6.4,98.9,99.7,7516,87.5,1993.5,0.59
2014. 07,-5.7,96.3,100.3,7330.5,87.7,2003.7,0.45
2014. 08,-5.8,95.1,99.8,8441.6,88.3,2026,0.4
2014. 09,-4.8,96.2,100,8620.6,89.1,2041.9,0.38
2014. 10,-5.3,96.3,99.4,8772.4,90.2,2015.5,0.4
2014. 11,-3.2,96.2,101.3,7480.8,91.7,1981.7,0.38
2014. 12,-1,94.7,100.4,6944.7,93.7,1948.1,0.35
2015. 01,0.4,95.5,100,7985.4,96.3,1940.9,0.29
2015. 02,-0.1,97.5,99.2,8138.9,97.8,1941.3,0.22
2015. 03,-2.1,99.2,99.3,9782.2,98.6,1964.9,0.15
2015. 04,-2.5,101.1,100.6,9381.2,98.5,2027,0.14
2015. 05,-3,100.8,99.1,11769.7,98.8,2078.3,0.22
2015. 06,-4.3,97.3,99.4,11639.6,99.2,2095.3,0.32
2015. 07,-5.5,94.3,99,11555.6,99.6,2078.9,0.47
2015. 08,-6.2,92.4,102,10514.8,100.5,2024.8,0.5
2015. 09,-4.9,94.2,103,13369.6,101.1,1983.4,0.47
2015. 10,-2.9,94.8,102.9,13764.5,101.1,1970.9,0.38
2015. 11,-2.6,94.8,101.1,14810.8,101,1989,0.38
2015. 12,-3.8,93.8,99.2,10811,101.4,1999.6,0.39
2016. 01,-6.8,92.6,96.3,11194.1,102.7,1957.7,0.39
2016. 02,-8.5,90.9,93.7,10478.8,103.5,1922.3,0.27
2016. 03,-8.2,91.1,94,11461.9,103.4,1923.9,0.17
2016. 04,-6.7,92.3,94.8,11614.1,102.3,1957.8,0.1
2016. 05,-3.7,93.2,97.3,11384.9,101.1,1979.8,0.09
2016. 06,-1.5,93.5,97.8,11383.1,100.2,1980,0.09
2016. 07,0.8,93.2,99.5,12010.3,99.9,1982.1,0.07
2016. 08,1.1,94.3,100.1,13324.4,99.9,2005.4,0.06
2016. 09,1,95.3,102.2,13695.3,100.3,2027.3,0.05
2016. 10,0,95.4,104.6,14041.2,100.2,2038.4,0.11
2016. 11,1.6,94.5,106.9,13307.9,100.5,2020.1,0.27
2016. 12,3.9,93.3,110,12896.1,100.2,2013.2,0.45
2017. 01,7.8,93.3,112.5,11875.7,100,2021.7,0.58
2017. 02,8.9,94.1,113,12388.2,99.6,2055.4,0.62
2017. 03,9.2,96.4,112.7,11149.6,99.7,2093.6,0.63
2017. 04,7,97.8,112.3,12357.3,100.3,2126.4,0.65
2017. 05,4.3,98.9,113.3,11866,100.8,2199.4,0.66
2017. 06,2.1,98.8,114.7,13254.9,101.3,2278.1,0.64
2017. 07,1,98.6,115.2,11340.8,101.9,2362.3,0.67
2017. 08,1.5,98.4,115.6,11706.2,102.1,2385.8,0.69
2017. 09,1.8,98,113.8,11517.6,101.8,2385.6,0.73
2017. 10,1.2,99.1,111.8,12314.3,101.2,2409,0.84
2017. 11,-0.4,99.8,109.6,11483.9,100.5,2462.7,0.95
2017. 12,-5.7,100.9,108.4,11963.2,99.8,2494.7,0.97
2018. 01,-9.1,99.9,111.6,14320.4,98.7,2507.4,0.95
2018. 02,-10.8,99.5,113.8,13973.4,98.4,2475.9,0.93
2018. 03,-10.7,98.1,114.3,13259.4,97.6,2470.5,1
2018. 04,-10.1,98.1,111.9,10017.9,96.9,2449.6,1.01
2018. 05,-7.7,98.4,111.2,11599.5,95.6,2457,1
2018. 06,-5.8,99.3,109.8,11782.4,94.8,2438,0.98
2018. 07,-5,97.8,109.2,12557.8,94.7,2380,0.94
2018. 08,-5.7,95.9,106.6,10712.1,95,2320.9,0.85
2018. 09,-5.3,95.5,105.3,10891.3,94.9,2291.8,0.73
2018. 10,-4.1,95.3,103,10389.2,94.2,2248.2,0.66
2018. 11,-6,94.4,101.8,11121.3,93.9,2181.4,0.59
2018. 12,-6.4,92.6,100.3,11614.4,94.4,2102.3,0.43
2019. 01,-6.6,91.5,98.4,12527.4,94.9,2085.1,0.26
2019. 02,-5.9,92.6,95.7,11406.9,94.3,2127.4,0.12
2019. 03,-3.7,93.4,94.3,11749.3,92.9,2158,0.11
2019. 04,-4.3,95.4,94.6,11659.3,91.6,2194.7,0.07
2019. 05,-5.2,94.2,94.2,12351,90.9,2153.6,0.02
2019. 06,-6.6,93.6,94,11409.1,91.2,2134.8,-0.08
2019. 07,-7,91.5,92.5,10128.2,91.4,2090.6,-0.16
2019. 08,-5.2,90.4,92.6,9683.9,91.7,2043,-0.25
2019. 09,-5.2,90,93.6,11052.6,91.4,2023,-0.23
2019. 10,-5.2,90.5,95.8,12984.6,91.5,2018.4,-0.13
2019. 11,-4.6,91.6,96.4,14350.5,91,2079.9,0.08
2019. 12,-0.3,92,99.8,14185.1,90.5,2113.9,0.2
2020. 01,0.4,93.5,99,14008.2,89.9,2159.7,0.24
2020. 02,-1,91.9,98.2,13427.8,90.4,2172.5,0.18
2020. 03,-5,82.2,94.8,11945.1,92.3,2052.4,0.21
2020. 04,-6.1,68.9,96.9,10254.8,95.4,1934.5,0.31
2020. 05,-8.2,59.1,97.6,11063.4,96.7,1867.2,0.41